file_name,relative_path,type,size_bytes,lines,functions,has_shebang,has_set_e,has_eval,has_bare_except,has_subprocess,has_credentials,has_todo,is_executable,last_modified,category,purpose,dependencies,issues,optimization_potential,priority
cleanup-local-files.sh,utilities/cleanup-local-files.sh,shell,1366,37,0,True,False,False,False,False,False,False,False,2025-08-20T10:48:54.411640,utilities,No description found,,missing_set_e,low,normal
make_executable.sh,utilities/make_executable.sh,shell,99,3,0,True,False,False,False,False,False,False,False,2025-08-20T13:30:10.684445,utilities,No description found,,missing_set_e,low,normal
cleanup-main-directory.sh,utilities/cleanup-main-directory.sh,shell,8280,237,0,True,True,False,False,False,True,False,True,2025-08-20T20:43:30.414026,utilities,No description found,,potential_credentials,medium,critical
retrieve_layout.sh,utilities/retrieve_layout.sh,shell,399,12,0,True,False,False,False,False,False,False,False,2025-08-20T11:16:56.646547,utilities,No description found,,missing_set_e,low,normal
manual_search_results.py,utilities/manual_search_results.py,python,7444,206,4,True,False,False,False,True,True,False,False,2025-08-20T13:31:30.126387,utilities,No description found,os|json|subprocess,missing_type_hints|potential_credentials,medium,critical
direct_execution.py,utilities/direct_execution.py,python,4510,127,2,True,False,False,False,True,False,False,False,2025-08-20T11:21:41.022398,utilities,No description found,subprocess|os|json,missing_type_hints,low,normal
remove-compounding-flow.sh,utilities/remove-compounding-flow.sh,shell,2540,71,0,True,True,False,False,False,False,False,False,2025-08-20T10:48:16.246249,utilities,No description found,,,low,normal
final_layout_script.py,utilities/final_layout_script.py,python,10439,295,2,True,False,False,True,True,False,False,False,2025-08-20T11:20:27.496256,utilities,No description found,subprocess|os|json|xml.etree.ElementTree|pathlib|sys,bare_except|missing_type_hints,medium,medium
reorganize-instances.sh,utilities/reorganize-instances.sh,shell,4207,121,0,True,False,False,False,False,False,False,True,2025-08-20T19:01:47.547511,utilities,No description found,,missing_set_e,low,normal
query-flow-status.sh,utilities/query-flow-status.sh,shell,337,8,0,True,False,False,False,False,False,False,False,2025-08-20T10:48:04.655435,utilities,No description found,,missing_set_e,low,normal
modify_contact_layout.py,utilities/modify_contact_layout.py,python,7379,195,2,True,False,False,False,True,False,False,False,2025-08-20T11:19:40.910785,utilities,No description found,subprocess|os|xml.etree.ElementTree|json|pathlib,missing_type_hints,low,normal
setup.sh,utilities/setup.sh,shell,10118,307,4,True,True,False,False,False,False,False,True,2025-08-19T21:25:30.665141,utilities,No description found,,,low,normal
execute_add_field.sh,utilities/execute_add_field.sh,shell,237,11,0,True,False,False,False,False,False,False,False,2025-08-20T11:21:11.271748,utilities,No description found,,missing_set_e,low,normal
direct_test.py,utilities/direct_test.py,python,2571,75,0,False,False,False,True,True,False,False,False,2025-08-20T11:18:26.891601,testing,No description found,subprocess|json|os,bare_except|missing_type_hints,low,normal
mcp-api-bridge.sh,lib/mcp-api-bridge.sh,shell,13568,457,16,True,False,False,False,False,False,False,False,2025-08-24T20:30:11.596839,integration,No description found,,missing_set_e,high,high
