Id,Clean_Status__c,Sync_Status__c
0033j000049FlFEAA0,OK,Not Synced
0033j000049FlFTAA0,OK,Not Synced
0033j000049FlFdAAK,OK,Not Synced
0033j000049FlJ7AAK,OK,Not Synced
0033j000049FlNiAAK,OK,Not Synced
0033j000049FlSZAA0,OK,Not Synced
0033j000049FlT2AAK,OK,Not Synced
0033j000049FlTCAA0,OK,Not Synced
0033j000049FlTIAA0,OK,Not Synced
0033j000049FlUyAAK,OK,Not Synced
0033j000049FldMAAS,OK,Not Synced
0033j000049Flh4AAC,OK,Not Synced
0033j000049FmzcAAC,OK,Not Synced
0033j000049FmzdAAC,OK,Not Synced
0033j000049Fn0QAAS,OK,Not Synced
0033j000049Fn60AAC,OK,Not Synced
0033j000049Fn77AAC,OK,Not Synced
0033j000049Fn9NAAS,OK,Not Synced
0033j000049FnBTAA0,OK,Not Synced
0033j000049FnBUAA0,OK,Not Synced
0033j000049FnBVAA0,OK,Not Synced
0033j000049FnBWAA0,OK,Not Synced
0033j000049FnBXAA0,OK,Not Synced
0033j000049FnO0AAK,OK,Not Synced
0033j000049FnVJAA0,OK,Not Synced
0033j000049FnepAAC,OK,Not Synced
0033j000049FnjBAAS,OK,Not Synced
0033j000049FnkOAAS,OK,Not Synced
0033j000049FnkiAAC,OK,Not Synced
0033j000049FnoGAAS,OK,Not Synced
0033j000049FnqbAAC,OK,Not Synced
0033j000049Fo4RAAS,OK,Not Synced
0033j000049Fo5jAAC,OK,Not Synced
0033j000049Fo5kAAC,OK,Not Synced
0033j000049Fo5lAAC,OK,Not Synced
0033j000049Fo5oAAC,OK,Not Synced
0033j000049Fo6cAAC,OK,Not Synced
0033j000049FoDWAA0,OK,Not Synced
0033j000049FoDlAAK,OK,Not Synced
0033j000049FoGuAAK,OK,Not Synced
0033j000049FoGvAAK,OK,Not Synced
0033j000049FoGwAAK,OK,Not Synced
0033j000049FoI9AAK,OK,Not Synced
0033j000049FoNOAA0,OK,Not Synced
0033j000049FoPjAAK,OK,Not Synced
0033j000049FoUIAA0,OK,Not Synced
0033j000049FoUhAAK,OK,Not Synced
0033j000049FoZSAA0,OK,Not Synced
0033j000049FoZTAA0,OK,Not Synced
