"sf__Id","sf__Created",Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
"0032A00002az0MKQAY","false","0032A00002az0MKQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0MQQAY","false","0032A00002az0MQQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0MeQAI","false","0032A00002az0MeQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0MkQAI","false","0032A00002az0MkQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0MqQAI","false","0032A00002az0MqQAI","Delete","No Email or Phone","false","Not Synced"
"0032A00002az0MzQAI","false","0032A00002az0MzQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0N7QAI","false","0032A00002az0N7QAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0NAQAY","false","0032A00002az0NAQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0NKQAY","false","0032A00002az0NKQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0O5QAI","false","0032A00002az0O5QAI","Delete","No Email or Phone","false","Not Synced"
"0032A00002az0O8QAI","false","0032A00002az0O8QAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0OEQAY","false","0032A00002az0OEQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0OOQAY","false","0032A00002az0OOQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0OrQAI","false","0032A00002az0OrQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0OtQAI","false","0032A00002az0OtQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0PIQAY","false","0032A00002az0PIQAY","Duplicate","Master: 003Rh00000c44tfIAA","false","Not Synced"
"0032A00002az0PMQAY","false","0032A00002az0PMQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0PSQAY","false","0032A00002az0PSQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0PUQAY","false","0032A00002az0PUQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0PaQAI","false","0032A00002az0PaQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0PgQAI","false","0032A00002az0PgQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0QKQAY","false","0032A00002az0QKQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0QOQAY","false","0032A00002az0QOQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az25bQAA","false","0032A00002az25bQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az25xQAA","false","0032A00002az25xQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az261QAA","false","0032A00002az261QAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az268QAA","false","0032A00002az268QAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az26FQAQ","false","0032A00002az26FQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az26KQAQ","false","0032A00002az26KQAQ","Delete","No Email or Phone","false","Not Synced"
"0032A00002az26OQAQ","false","0032A00002az26OQAQ","Archive","Old Inactive Contact","false","Not Synced"
"0032A00002az26dQAA","false","0032A00002az26dQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az26qQAA","false","0032A00002az26qQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az26yQAA","false","0032A00002az26yQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az27DQAQ","false","0032A00002az27DQAQ","Archive","Old Inactive Contact","false","Not Synced"
"0032A00002az27VQAQ","false","0032A00002az27VQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az27XQAQ","false","0032A00002az27XQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az27bQAA","false","0032A00002az27bQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az28MQAQ","false","0032A00002az28MQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az28WQAQ","false","0032A00002az28WQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az28XQAQ","false","0032A00002az28XQAQ","Delete","No Activity 3+ Years","false","Not Synced"
