Id,Clean_Status__c,Delete_Reason__c
0032A00002az3AuQAI,Archive,Old Inactive Contact
0032A00002az3AvQAI,Duplicate,Master: 003Rh00000LaFS6IAN
0032A00002az3AwQAI,Duplicate,Master: 0033j00004B1wVUAAZ
0032A00002az3AxQAI,OK,
0032A00002az3AyQAI,Delete,No Activity 3+ Years
0032A00002az3AzQAI,Archive,Old Inactive Contact
0032A00002az3B0QAI,Delete,No Activity 3+ Years
0032A00002az3B1QAI,Archive,Old Inactive Contact
0032A00002az3B2QAI,Delete,No Activity 3+ Years
0032A00002az3B3QAI,Delete,No Activity 3+ Years
0032A00002az3B4QAI,OK,
0032A00002az3B6QAI,Archive,Old Inactive Contact
0032A00002az3B7QAI,Delete,No Activity 3+ Years
0032A00002az3B8QAI,Delete,No Activity 3+ Years
0032A00002az3B9QAI,Duplicate,Master: 0032A00002az2I7QAI
0032A00002az3BAQAY,Delete,No Activity 3+ Years
0032A00002az3BBQAY,Delete,No Activity 3+ Years
0032A00002az3BCQAY,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az3BDQAY,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az3BEQAY,OK,
0032A00002az3BFQAY,Archive,Old Inactive Contact
0032A00002az3BGQAY,Duplicate,Master: 0032A00002ayzFsQAI
0032A00002az3BHQAY,Archive,Old Inactive Contact
0032A00002az3BIQAY,Delete,No Activity 3+ Years
0032A00002az3BJQAY,Duplicate,Master: 0032A00002ZotDdQAJ
0032A00002az3BLQAY,Archive,Old Inactive Contact
0032A00002az3BNQAY,Delete,No Activity 3+ Years
0032A00002az3BOQAY,Delete,No Activity 3+ Years
0032A00002az3BPQAY,Archive,Old Inactive Contact
0032A00002az3BQQAY,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az3BRQAY,Delete,No Activity 3+ Years
0032A00002az3BSQAY,Archive,Old Inactive Contact
0032A00002az3BTQAY,Delete,No Activity 3+ Years
0032A00002az3BUQAY,OK,
0032A00002az3BVQAY,Archive,Old Inactive Contact
0032A00002az3BWQAY,Delete,No Activity 3+ Years
0032A00002az3BXQAY,Duplicate,Master: 003F000001e49c7IAA
0032A00002az3BYQAY,Delete,No Activity 3+ Years
0032A00002az3BZQAY,Delete,No Activity 3+ Years
0032A00002az3BaQAI,Delete,No Activity 3+ Years
0032A00002az3BbQAI,Delete,No Activity 3+ Years
0032A00002az3BcQAI,Delete,No Activity 3+ Years
0032A00002az3BdQAI,Duplicate,Master: 0032A00002az1kSQAQ
0032A00002az3BeQAI,Archive,Old Inactive Contact
0032A00002az3BfQAI,Delete,No Activity 3+ Years
0032A00002az3BgQAI,Duplicate,Master: 0032A00002ayzxSQAQ
0032A00002az3BhQAI,Delete,No Activity 3+ Years
0032A00002az3BiQAI,Archive,Old Inactive Contact
0032A00002az3BjQAI,Delete,No Activity 3+ Years
0032A00002az3BlQAI,OK,
0032A00002az3BmQAI,Delete,No Activity 3+ Years
0032A00002az3BnQAI,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az3BoQAI,Delete,No Activity 3+ Years
0032A00002az3BqQAI,Archive,Old Inactive Contact
0032A00002az3BrQAI,Delete,No Activity 3+ Years
0032A00002az3BsQAI,Delete,No Activity 3+ Years
0032A00002az3BtQAI,Delete,No Activity 3+ Years
0032A00002az3BvQAI,Delete,No Activity 3+ Years
0032A00002az3BwQAI,Delete,No Activity 3+ Years
0032A00002az3BxQAI,Delete,No Activity 3+ Years
0032A00002az3ByQAI,Delete,No Activity 3+ Years
0032A00002az3BzQAI,Delete,No Activity 3+ Years
0032A00002az3C0QAI,Archive,Old Inactive Contact
0032A00002az3C1QAI,Delete,No Activity 3+ Years
0032A00002az3C2QAI,Archive,Old Inactive Contact
0032A00002az3C3QAI,Delete,No Activity 3+ Years
0032A00002az3C4QAI,Archive,Old Inactive Contact
0032A00002az3C5QAI,Delete,No Activity 3+ Years
0032A00002az3C6QAI,Duplicate,Master: 003Rh00000TdGkKIAV
0032A00002az3C7QAI,Delete,No Activity 3+ Years
0032A00002az3C8QAI,Duplicate,Master: 003Rh00000LaGVYIA3
0032A00002az3C9QAI,Delete,No Activity 3+ Years
0032A00002az3CAQAY,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az3CBQAY,Delete,No Activity 3+ Years
0032A00002az3CCQAY,Archive,Old Inactive Contact
0032A00002az3CDQAY,Archive,Old Inactive Contact
0032A00002az3CEQAY,Delete,No Activity 3+ Years
0032A00002az3CFQAY,Archive,Old Inactive Contact
0032A00002az3CGQAY,Delete,No Activity 3+ Years
0032A00002az3CHQAY,Archive,Old Inactive Contact
0032A00002az3CIQAY,Delete,No Activity 3+ Years
0032A00002az3CJQAY,Delete,No Activity 3+ Years
0032A00002az3CKQAY,Duplicate,Master: 003Rh00000a2nRNIAY
0032A00002az3CLQAY,Delete,No Email or Phone
