Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
0032A00002YikTLQAZ,Archive,Old Inactive Contact,false,Not Synced
0032A00002YikWPQAZ,Archive,Old Inactive Contact,false,Not Synced
0032A00002YikduQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YiksrQAB,OK,,false,Not Synced
0032A00002Yil6tQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002YilFHQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YilJJQAZ,Archive,Old Inactive Contact,false,Not Synced
0032A00002YilRNQAZ,Archive,Old Inactive Contact,false,Not Synced
0032A00002YilgwQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Yim4jQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Yim9UQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002YimGfQAJ,Archive,Old Inactive Contact,false,Not Synced
0032A00002YimOKQAZ,Archive,Old Inactive Contact,false,Not Synced
0032A00002YimYPQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YimakQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Yj8zoQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YjAvoQAF,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YjHm6QAF,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YjMfxQAF,OK,,false,Not Synced
0032A00002Z0FkGQAV,Duplicate,Master: 0032A00002SFEEbQAP,false,Not Synced
0032A00002Z0IgMQAV,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z0NAMQA3,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z0Qk4QAF,Duplicate,Master: 0032A00002Z0QtfQAF,false,Not Synced
0032A00002Z0QlvQAF,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z0QrAQAV,Duplicate,Master: 0032A00002Z0QtfQAF,false,Not Synced
0032A00002Z0QsXQAV,Duplicate,Master: 0032A00002Z0QtfQAF,false,Not Synced
0032A00002Z0QtfQAF,OK,,false,Not Synced
0032A00002Z0R5bQAF,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z0RGEQA3,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z0RNJQA3,Delete,No Email or Phone,false,Not Synced
0032A00002Z0RNnQAN,OK,,false,Not Synced
0032A00002Z0RlLQAV,OK,,false,Not Synced
0032A00002Z0fMKQAZ,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z0uuHQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z0ve8QAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z17csQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z18XeQAJ,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z19nPQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z1E3JQAV,OK,,false,Not Synced
0032A00002Z2Ci5QAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z2DalQAF,OK,,false,Not Synced
0032A00002Z2ExgQAF,OK,,false,Not Synced
0032A00002Z2F8UQAV,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z2FDzQAN,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z2FUGQA3,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z2FXPQA3,OK,,false,Not Synced
0032A00002Z2FpsQAF,OK,,false,Not Synced
0032A00002Z2IImQAN,Duplicate,Master: 0032A00002aKbJ5QAK,false,Not Synced
0032A00002Z2IbZQAV,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z2Mr5QAF,OK,,false,Not Synced
0032A00002Z2TAHQA3,OK,,false,Not Synced
0032A00002Z2TCcQAN,OK,,false,Not Synced
0032A00002Z2W5tQAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z2xLbQAJ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z30JJQAZ,Duplicate,Master: 0032A00002YiVkSQAV,false,Not Synced
0032A00002Z34nqQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z34tyQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z35KDQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z35PTQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z3D5QQAV,OK,,false,Not Synced
0032A00002Z3JF9QAN,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z3JPxQAN,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z3dBiQAJ,Archive,Old Inactive Contact,false,Not Synced
